order_line_id,order_id,order_status,date,campaign_id,customer_id,product_id,price,quantity
10740-3HJH46-1,10740-3HJH46,Delivered,2018-10-19,,10740,150,18.95,1
10095-2JJD74-1,10095-2JJD74,Delivered,2018-10-19,,10095,150,16.56,1
10095-2JJD74-2,10095-2JJD74,Delivered,2018-10-19,,10095,330,108.11,1
10740-3HJH46-2,10740-3HJH46,Delivered,2018-10-19,,10740,120,34.78,4
10026-6IXH66-1,10026-6IXH66,Delivered,2018-10-19,,10026,330,85.24,1
10417-7WBQ63-1,10417-7WBQ63,Returned,2018-10-20,,10417,420,498.96,1
10417-7WBQ63-2,10417-7WBQ63,Returned,2018-10-20,,10417,310,26.33,1
10123-1MLX00-1,10123-1MLX00,Delivered,2018-10-20,,10123,150,19.35,1
10846-9GDB98-2,10846-9GDB98,Delivered,2018-10-21,,10846,140,25.36,2
10846-9GDB98-1,10846-9GDB98,Delivered,2018-10-21,,10846,230,73.24,1
10135-9QLE39-1,10135-9QLE39,Delivered,2018-10-22,10001,10135,240,24.15,1
10518-5EVP65-2,10518-5EVP65,Delivered,2018-10-23,,10518,240,25.2,1
10518-5EVP65-1,10518-5EVP65,Delivered,2018-10-23,,10518,120,46.49,1
10981-8DOJ34-1,10981-8DOJ34,Delivered,2018-10-23,,10981,240,25.2,1
10518-5EVP65-3,10518-5EVP65,Delivered,2018-10-23,,10518,160,15.79,2
10981-8DOJ34-2,10981-8DOJ34,Delivered,2018-10-23,,10981,230,92.14,1
10864-1LJO78-1,10864-1LJO78,Delivered,2018-10-24,,10864,220,53.55,1
10873-5BYW21-2,10873-5BYW21,Delivered,2018-10-24,,10873,130,35.62,1
10873-5BYW21-1,10873-5BYW21,Delivered,2018-10-24,,10873,240,26.78,1
10864-1LJO78-2,10864-1LJO78,Delivered,2018-10-24,,10864,160,18.14,1
10440-5EYW32-1,10440-5EYW32,Delivered,2018-10-24,,10440,340,11.55,1
10409-8EPN34-1,10409-8EPN34,Delivered,2018-10-25,,10409,120,48.76,1
10604-6ISC34-1,10604-6ISC34,Delivered,2018-10-25,,10604,160,16.3,1
10360-1XGH59-1,10360-1XGH59,Delivered,2018-10-25,,10360,240,25.2,1
10409-8EPN34-2,10409-8EPN34,Delivered,2018-10-25,,10409,410,190.78,1
10766-0TNR31-1,10766-0TNR31,Delivered,2018-10-26,,10766,110,38.31,1
10719-2RVR52-1,10719-2RVR52,Delivered,2018-10-26,,10719,240,25.2,1
10470-1ICQ95-5,10470-1ICQ95,Delivered,2018-10-27,,10470,230,84.26,1
10470-1ICQ95-8,10470-1ICQ95,Delivered,2018-10-27,,10470,160,16.63,1
10470-1ICQ95-7,10470-1ICQ95,Delivered,2018-10-27,,10470,160,16.3,1
10470-1ICQ95-10,10470-1ICQ95,Delivered,2018-10-27,,10470,230,82.69,1
10470-1ICQ95-1,10470-1ICQ95,Delivered,2018-10-27,,10470,240,25.46,1
10470-1ICQ95-4,10470-1ICQ95,Delivered,2018-10-27,,10470,320,58.91,1
10470-1ICQ95-3,10470-1ICQ95,Delivered,2018-10-27,,10470,330,94.59,1
10470-1ICQ95-6,10470-1ICQ95,Delivered,2018-10-27,,10470,150,18.35,1
10470-1ICQ95-2,10470-1ICQ95,Delivered,2018-10-27,,10470,430,703.08,1
10890-9VYI37-1,10890-9VYI37,Delivered,2018-10-27,,10890,410,248.75,1
10470-1ICQ95-9,10470-1ICQ95,Delivered,2018-10-27,,10470,130,33.94,2
10191-0YLK93-1,10191-0YLK93,Delivered,2018-10-28,,10191,240,28.09,4
10710-3ZGP99-1,10710-3ZGP99,Delivered,2018-10-28,,10710,340,12.01,1
10191-0YLK93-2,10191-0YLK93,Delivered,2018-10-28,,10191,160,17.98,1
10934-5VLI33-1,10934-5VLI33,Delivered,2018-10-29,,10934,140,30.91,1
